Transaction ID,Transaction Date,Transaction Time,Transaction Quantity,Store ID,Store Location,Product ID,Unit Price,Product Category,Product Type,Product Detail
1,1/1/23,7:06:11,2,5,Lower Manhattan,32,3,Coffee,Gourmet brewed coffee,Ethiopia Rg
2,1/1/23,7:08:56,2,5,Lower Manhattan,57,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg
3,1/1/23,7:14:04,2,5,Lower Manhattan,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg
4,1/1/23,7:20:24,1,5,Lower Manhattan,22,2,Coffee,Drip coffee,Our Old Time Diner Blend Sm
5,1/1/23,7:22:41,2,5,Lower Manhattan,57,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg
5,1/1/23,7:22:41,1,5,Lower Manhattan,77,3,Bakery,Scone,Oatmeal Scone
6,1/1/23,7:25:49,1,5,Lower Manhattan,22,2,Coffee,Drip coffee,Our Old Time Diner Blend Sm
7,1/1/23,7:33:34,2,5,Lower Manhattan,28,2,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm
8,1/1/23,7:39:13,1,5,Lower Manhattan,39,4.25,Coffee,Barista Espresso,Latte Rg
9,1/1/23,7:39:34,2,5,Lower Manhattan,58,3.5,Drinking Chocolate,Hot chocolate,Dark chocolate Rg
10,1/1/23,7:43:05,1,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg
11,1/1/23,7:44:35,2,5,Lower Manhattan,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg
12,1/1/23,7:45:51,1,5,Lower Manhattan,51,3,Tea,Brewed Black tea,Earl Grey Lg
13,1/1/23,7:48:19,1,5,Lower Manhattan,57,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg
14,1/1/23,7:52:36,2,5,Lower Manhattan,87,3,Coffee,Barista Espresso,Ouro Brasileiro shot
15,1/1/23,7:59:58,2,5,Lower Manhattan,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg
15,1/1/23,7:59:58,1,5,Lower Manhattan,79,3.75,Bakery,Scone,Jumbo Savory Scone
16,1/1/23,8:00:18,1,8,Hell's Kitchen,42,2.5,Tea,Brewed herbal tea,Lemon Grass Rg
17,1/1/23,8:00:39,2,8,Hell's Kitchen,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg
18,1/1/23,8:11:45,1,8,Hell's Kitchen,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg
19,1/1/23,8:17:27,2,8,Hell's Kitchen,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg
20,1/1/23,8:24:26,2,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg
20,1/1/23,8:24:26,1,5,Lower Manhattan,69,3.25,Bakery,Biscotti,Hazelnut Biscotti
21,1/1/23,8:29:38,1,8,Hell's Kitchen,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg
22,1/1/23,8:31:23,1,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino
23,1/1/23,8:33:08,1,5,Lower Manhattan,43,3,Tea,Brewed herbal tea,Lemon Grass Lg
23,1/1/23,8:33:08,1,5,Lower Manhattan,76,3.5,Bakery,Biscotti,Chocolate Chip Biscotti
24,1/1/23,8:35:03,2,5,Lower Manhattan,45,3,Tea,Brewed herbal tea,Peppermint Lg
24,1/1/23,8:35:03,1,5,Lower Manhattan,71,3.75,Bakery,Pastry,Chocolate Croissant
25,1/1/23,8:41:57,2,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino
26,1/1/23,8:52:03,1,8,Hell's Kitchen,38,3.75,Coffee,Barista Espresso,Latte
27,1/1/23,8:52:32,1,5,Lower Manhattan,26,3,Coffee,Organic brewed coffee,Brazilian Rg
28,1/1/23,8:54:33,2,5,Lower Manhattan,27,3.5,Coffee,Organic brewed coffee,Brazilian Lg
29,1/1/23,8:56:27,2,5,Lower Manhattan,29,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg
30,1/1/23,8:57:46,1,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg
31,1/1/23,8:58:55,1,5,Lower Manhattan,26,3,Coffee,Organic brewed coffee,Brazilian Rg
32,1/1/23,9:00:12,1,5,Lower Manhattan,55,4,Tea,Brewed Chai tea,Morning Sunrise Chai Lg
33,1/1/23,9:00:24,2,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino
34,1/1/23,9:07:13,1,8,Hell's Kitchen,45,3,Tea,Brewed herbal tea,Peppermint Lg
35,1/1/23,9:08:09,2,8,Hell's Kitchen,45,3,Tea,Brewed herbal tea,Peppermint Lg
36,1/1/23,9:08:13,1,8,Hell's Kitchen,24,3,Coffee,Drip coffee,Our Old Time Diner Blend Lg
37,1/1/23,9:10:30,2,5,Lower Manhattan,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg
37,1/1/23,9:10:30,1,5,Lower Manhattan,78,4.5,Bakery,Scone,Scottish Cream Scone 
38,1/1/23,9:11:06,1,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg
38,1/1/23,9:11:06,1,5,Lower Manhattan,77,3,Bakery,Scone,Oatmeal Scone
39,1/1/23,9:13:01,1,5,Lower Manhattan,44,2.5,Tea,Brewed herbal tea,Peppermint Rg
40,1/1/23,9:13:15,2,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg
41,1/1/23,9:14:16,1,5,Lower Manhattan,48,2.5,Tea,Brewed Black tea,English Breakfast Rg
42,1/1/23,9:14:17,1,8,Hell's Kitchen,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg
43,1/1/23,9:14:25,1,8,Hell's Kitchen,46,2.5,Tea,Brewed Green tea,Serenity Green Tea Rg
44,1/1/23,9:14:41,1,8,Hell's Kitchen,32,3,Coffee,Gourmet brewed coffee,Ethiopia Rg
45,1/1/23,9:15:09,2,5,Lower Manhattan,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg
46,1/1/23,9:15:13,2,5,Lower Manhattan,43,3,Tea,Brewed herbal tea,Lemon Grass Lg
47,1/1/23,9:19:21,2,5,Lower Manhattan,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm
48,1/1/23,9:19:26,1,8,Hell's Kitchen,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg
49,1/1/23,9:21:08,1,5,Lower Manhattan,38,3.75,Coffee,Barista Espresso,Latte
50,1/1/23,9:22:17,1,8,Hell's Kitchen,45,3,Tea,Brewed herbal tea,Peppermint Lg
51,1/1/23,9:22:46,1,5,Lower Manhattan,34,2.45,Coffee,Premium brewed coffee,Jamaican Coffee River Sm
